Division Rank,Player,Country
1,VG.Xm,cn
2,XG.Paparazi灬,cn
3,IG.flyfly,cn
4,Aq,N/A
5,SZ.Kaiyko,cn
6,,N/A
7,RNG.Somnus,cn
8,神秘巨星,N/A
9,old eLeVeN.tara❤,cn
10,Aster.Monet,cn
11,999,N/A
12,Aster.Ori,cn
13,Aries.RedPanda,N/A
14,-灰太狼,N/A
15,果然翁,N/A
16,RNG.Chalice,cn
17,justwannaplay,N/A
18,DEC.Summer,N/A
19,TSaiyin.Son GoKu,N/A
20,Magma.白也,N/A
21,FishMan,cn
22,,N/A
23,yllll,N/A
24,IG.fy,cn
25,Aries.生死,N/A
26,Magma.Tzy丶,cn
27,XG.lou,N/A
28,麻了,N/A
29,Magma.Dust,cn
30,iG.V.ukiyo,N/A
31,Magma.kazi,cn
32,LBZS.Salad,cn
33,新生代顶级下忍,cn
34,JIAYEWANSUI,N/A
35,Ybb.AYuNiD,N/A
36,vae,cn
37,Zyd,cn
38,VG.Yang,cn
39,WhyouSm1Le,N/A
40,GunGrave,N/A
41,CDEC.Undyne_,N/A
42,吸鼠霸王,N/A
43,XG.AVA阿发,N/A
44,TSaiyin.Ms,N/A
45,职业杆弟,N/A
46,Azreal,N/A
47,Apex.JJ,my
48,.,N/A
49,B站ZYPRESSEN1,N/A
50,lzk,N/A
51,CDEC.imitator,N/A
52,CDEC.7e,N/A
53,Anita,N/A
54,sss,cn
55,Ybb.Dstones-,N/A
56,IG.JT,my
57,James,cn
58,胖娃er,N/A
59,RSG.xiaobonbon.Matrixport,vn
60,PSG.LGD.xiao8,N/A
61,RNG.kaka,cn
62,DEC.zc,cn
63,(～￣▽￣)～,N/A
64,可爱肥肥,N/A
65,剑来！,cn
66,Setsu,cn
67,卡密,N/A
68,山村老尸,N/A
69,决心,N/A
70,还将来2.0,cn
71,NG.aeae,cn
72,QvQ,cn
73,AYuNiD,N/A
74,SZ.Hara,N/A
75,mikey,cn
76,Lemon,N/A
77,XG.跳刀跳刀丶,N/A
78,Janice Q❤♡,N/A
79,Nado,N/A
80,SangSang,N/A
81,mianmian,cn
82,xiN,cn
83,Kirito,N/A
84,PSG.LGD.Ameame,cn
85,性情中人,N/A
86,7L.彦祖祖,N/A
87,念爱大神,N/A
88,Wishing,N/A
89,Mysterious Master（1）,N/A
90,夏の花火,N/A
91,yoona,N/A
92,六六,cn
