Division Rank,Player,Country
1,NAVI.No[o]ne-.GGBET,ua
2,OG.bzm,bg
3,idcmmriplay4fun,N/A
4,collapsesmurf,ru
5,Secret.Crystallis.1JingJi,nl
6,HR.Malady,kz
7,NGX.SumaiL-,pk
8,iamjakehill,kz
9,GG.Seleri.GAIMIN,N/A
10,TSM FTX.SabeRLighT-,cz
11,RE.TA2000.Winline,kz
12,Nemiga.Malr1ne.CREEPWAVE,N/A
13,Entity.Pure.shelbywalk,ru
14,IBARRA,ph
15,HR.医者watson`.your name.,kz
16,33,N/A
17,Empty,N/A
18,Liquid.MATUMBAMAN.kimchi,fi
19,GS.LIMMP,se
20,Move.Knight~.PARI,by
21,fakefakesaksa,mk
22,lft2.Yuuichi,N/A
23,GG.dyrachyo.GAIMIN,ru
24,NAVI.swedenstrong.GGBET,ru
25,Save-,md
26,NGX.MinD_ContRoL,bg
27,tears,N/A
28,Empire.Retrograde,ru
29,Tundra.33,il
30,Tundra.skiter,sk
31,Way.lorenof,N/A
32,Tundra.Sneyking,us
33,TSpirit.YATOROGOD.1xBet,ua
34,NS.dream`,kg
35,Larl(fun acc),N/A
36,done,ru
37,RE.kaori.Winline,N/A
38,187.dog1,at
39,Liquid.m1CKe.henko,se
40,W1sh-,ge
41,Move.sayuw.PARI,ru
42,11M.Stojkov.eVox,mk
43,BR.ThuG.dexsport.io,gr
44,GG.tOfu.GAIMIN,de
45,EG.Cr1t-.13,dk
46,TSM FTX.Timado,N/A
47,PPARNI.Munkushi~.PARI,ru
48,Move.mellojul.PARI,N/A
49,Empire.squad1x,ru
50,NAVI.V-Tune.GGBET,ua
51,Entity.Tobi.lenny,at
52,HR.Limitless,ru
53,OG.Yuragi.#StopTheWar,ua
54,BR.Eleven.ForMadara<3,N/A
55,HR.MieRo`,N/A
56,MG.Slayer,N/A
57,Mkers.MTD,fi
58,Ceb,lb
59,Alliance.Aramis.VBET,il
60,Noticed2,ru
61,WC.Davai Lama,be
62,Outsiders.yamich.----,ru
63,111,ua
64,FTL.Crystallize,ua
65,OG.Taiga.#4Misha+Chu,no
66,IVY.lowskill.YG,hu
67,Nemiga.Kiritych~.≧ω≦,N/A
68,HR.re1bl.ベルセルク,N/A
69,Tundra.Aui_2000,N/A
70,JerAx,N/A
71,HF.Nicky`Cool,N/A
72,Secret.iceiceice.1JingJi,sg
73,OG.AMMAR_THE_F.CREEPWAVE,N/A
74,ITB.Otaker.Kineko,ru
75,LFT..tv/milandota,ba
76,Outsiders.RAMZES666.<3Boombl4,ru
77,ITB.Supream^.Kineko,cz
78,TSpirit.Mira.1xBet,ua
79,Nemiga.so bad,by
80,W_Zayac,kg
81,Liquid.zai.ALIENWARE<3,se
82,QCY.KheZu,de
83,HYDRA.Rari.kray,N/A
84,666,N/A
85,Entity.Stormstormer,N/A
86,Dog.StoneBank.Kineko,ua
87,Funn1k,N/A
88,Tundra.Nine,de
89,dont even try to talk to me,N/A
90,kuromi,by
91,OOE.dizzying,by
92,PPARNI.Immersion.PARI,ru
93,just practice,N/A
94,Cooman,ru
95,IBWR.wxhxduwhy,N/A
96,oveRkill,N/A
97,The Owls.perfect,ru
98,EG.Fly.ינווא 女王,il
99,Copy,de
100,TSpirit.Miposhka.1xBet,N/A
101,MG.Dinozavrik,N/A
102,pn.Pikachu,N/A
103,HappyDyurara,N/A
104,GS.Handsken,se
105,EU.Shad.`,nl
106,PPARNI.9pasha.PARI,ru
107,CyberC.Hduo.GoshaЧерный,N/A
108,OT.No!ob™,lb
109,PPARNI.depressed kid.PARI,N/A
110,Focus,N/A
111,DGG.PLEB.edabe,N/A
112,BR.dEsire.UNLOCK.dexsport.io,gr
113,mouzvaa,pe
114,ButterflyGod,N/A
115,Liquid.iNsania.UTRECHTLOSANGELE,se
116,X3.nattynarwhal_.Miaww^^,ru
117,X3.smN,ru
118,WB.Mikey,N/A
119,ITB.Ari.Kineko o(>ω<)o,N/A
120,RE.hAze._..Winline,kz
121,nouns.Moo.⌐■-■,us
122,GG.BOOM.GAIMIN,cz
123,СO6yTbIJIb.GeneRaL,N/A
124,11M.Palantimos.187,by
125,PC.Malik.GGBET,N/A
126,Entity.Fishman.CREEPWAVE,by
127,IVY.Mo13ei,de
128,dark,ua
129,Nemiga.Hellscream.Chepurnykh♡,by
130,OT.SlaweE,sk
131,coblack,tr
132,Hot.Moonlight,N/A
133,Mirage`,kz
134,-,N/A
135,SCAGI.Ankou534 ♡,ee
136,GS.aQua.查理,se
137,77,ro
138,7jesu,ua
139,C-Gen.tatakae,N/A
140,ARCRED.CHIRA_JUNIOR,N/A
141,fn`,N/A
142,X3.Shergarat (Vladimir),N/A
143,Blink.Dream海,al
144,PC.Dukalis.GGBET,ru
145,CJ.MikSa`,rs
146,FTL.illusionルビ;,ua
147,Bt bots.Cain`,N/A
148,CyberC.Shigetsu.Abyss,ua
149,ITB.Kidaro.Kineko,N/A
150,idcr.Lefitan,ru
151,PC.young G.GGBET,N/A
152,pradazombi.GIGA_CHEL,ru
153,antowa,ru
154,FROMCHICAGO,N/A
155,RE.mockingbird,kz
156,Bt bots.Pastil,N/A
157,iLTW,ru
158,PC.krylat (⌐■_■).GGBET,ru
159,Ekken,pl
160,Secret.Puppey.1JingJi,ee
161,Zorka.OneJey,by
162,flashback,N/A
163,BoraNija,rs
164,AVE.Damaroo,ru
165,Move.pantomem.PARI,ru
166,SCAGI.Merlin,ua
167,FTL.meLes,N/A
168,Justice.Must Triumph,au
169,YNT.DarkLord^,N/A
170,2B.Arin,cz
171,Till Throne Falls,N/A
172,Thiolicor,br
173,GS.Peksu,fi
174,Alliance.CTOMAHEH1.VBET,bg
175,love every1,N/A
176,NST.Zoom-ZigZag,N/A
