Division Rank,Player,Country
1,NGXSea.AlaCrity-,N/A
2,Polaris.Lelouch-.AboveAllOdds,ph
3,RNG.Ghost.鬼,my
4,TLN.23savage.M88,th
5,TNC.Yowe.VKGAME,N/A
6,TLN.Mikoto.M88,id
7,Polaris.Natsumi-,ph
8,PSG.LGD.NothingToSay,my
9,BOOM.JACKBOYS.Rivalry,la
10,M Y.BeeBieCryBaBy,la
11,neon.avataRmod3.Plae8,ph
12,RSG.mks.Matrixport,my
13,ChYuaN,my
14,BOOM.Fbz.Rivalry,id
15,GARBAGE,ba
16,Topson,fi
17,lg.sanctity-,mn
18,T1.Karl,N/A
19,Fnatic.Raven.Letou乐投电竞,N/A
20,SMG.MooN,my
21,Dreamocel,id
22,Force,ph
23,NGXSea.inYourdreaM.bellkhap,id
24,BG.Mice.LFT,N/A
25,SMG.MidOne,my
26,mid gap,sg
27,GS.Lewis,ph
28,A.Jîng,ph
29,1,th
30,Aster.BoBoKa.(σ`・д･)づ,cn
31,RNWL.seimei,mn
32,AG.Azur4.Anna,id
33,T1.Gabbi,ph
34,NGXSea.Jhocam,id
35,RSG.xsilearn.Matrixport,N/A
36,Polaris.Nevermine,la
37,YoungGod,N/A
38,BOOM.TIMS.Rivalry,ph
39,Allen,N/A
40,M11.Ifr1t!,id
41,Ybb.poloson.LFT4/5,sg
42,PlayHard-,ph
43,Atl.Ws`.Shenorita,my
44,XctN.Palos.#joebob♥,ph
45,XctN.Shanks,N/A
46,T1.Kuku.Pog,ph
47,Pota2,N/A
48,Patriots.jikroy,id
49,BOOM.skem.Rivalry,N/A
50,TNC.mavis.VKGAME,ph
51,UDV.KNP,th
52,Polaris.Dino Monteclaro,gp
53,Fnatic.Armel.Letou乐投电竞,ph
54,TLN.kpii.M88,au
55,nobody,N/A
56,TLN.Q.M88,th
57,UDV.R.MadMaid,th
58,hmmmmmmmmmmm,kr
59,Rusman-,id
60,MIPH.Rupido.^_^,N/A
61,anaapple,N/A
62,Unholy.Attacker,ae
63,Patriots.MamangDaya,id
64,Kenyal,N/A
65,EHOME.zeal,my
66,Magi,cn
67,Patriots.Vinz,id
68,BOOM.Mushi,my
69,UDV.GACHABOI,th
70,EHOME.shiro.みどり,cn
71,PSG.LGD.Faith_bian.Yun,cn
72,YG.Ksh,N/A
73,GS.Akashi,ph
74,Juju,id
75,Resolut1on,ua
76,lg.423.1234567890123456,N/A
77,Sccc丶,cn
78,DT.Xx,N/A
79,YG.Young PH,N/A
80,ponlo,sg
81,M Y.Seri,au
82,FelixCiaoba,N/A
83,TraVins,N/A
84,Abeng-,N/A
85,A.Asta丶,ph
86,AG.db-.Miboo^^,id
87,Fnatic.Jaunuel.Letou乐投电竞,ph
88,MAG.Candyloon,my
89,RNG.xNova,my
90,Atl.Ahyad,my
91,MIPH.JG 4:13.LFT/LFS,ph
92,AG.Varizh.bocilpi♥,id
93,T1.Whitemon,id
94,叶青玄,N/A
95,A.SamH,N/A
96,M11.Havinci,id
97,Fnatic.DJ.Letou乐投电竞,ph
98,lg.элэвэн,mn
99,phoenix.M77,cn
100,P_P.matthieu ball,ca
101,MAG.GaN-,my
102,Atomic.Marb,au
103,Atomic.kcl,ph
104,ᴊ-ᴊᴇꜰꜰɂ,my
105,XctN.Bob,ph
106,DH QUỶ,vn
107,Polaris.Tmv,ph
108,neon.Se.Plae8,mn
109,Fearlssla,N/A
110,Yuzu,N/A
111,[SYG].J602,my
112,RSG.X1aOyU.Matrixport,N/A
113,RNWL.Trill,mn
114,lg.Ace12,mn
115,YG.(Z)Rain,io
116,A.Denzsanity,N/A
117,PIB.Sahara,N/A
118,Lukas,ru
119,AG.NARMAN.lelekenyojer,mn
120,XctN.Vincenzo^.BTS`♥♥,N/A
121,"Genesis.Haw""",N/A
122,neon.Enryu.Plae8,ph
123,KoaLamon,id
124,SZ.Yp.Hxm♥,N/A
125,1.asd,au
126,TNC.Bok.VKGAM.E,N/A
127,#NotLikeThis,N/A
128,Blackberries,N/A
129,GS.Grimz,ph
130,BOOM.Yopaj-.Rivalry,ph
131,EHOME.zzq,N/A
132,TNC.Krizh`月.VKGAME,in
133,Veteran.InsaNe,N/A
134,jia,sg
135,dff,N/A
136,KB.Skaði,mn
137,O,cn
138,to theMoon,cn
139,TNC.Carlo.VKGAME,N/A
140,♥TroubleMaker♥,my
141,AIA,N/A
142,dff,cn
143,ASDASDASDdwaDWAD,N/A
144,T1.Xepher.edel,id
145,M11.Hated,id
146,AG.womy.fallacy,id
147,Polaris.Xavius,gb
148,LBZS.lg,N/A
149,A.eyyou,ph
150,Atl.ponyo,my
151,SMG.pieliedie,se
152,Cigarettes After Sex,N/A
153,希,N/A
154,SMG.- ah fu -,my
155,Rain,N/A
156,NGXSea.Boombui,th
157,J9superfast,th
158,GS.Apollo,ph
159,kpii2,au
